flightid,espera
45e7978b9d88f934cc06c11b6f0edba7,1
16ed22b3755aa9196d16fdd2a173c98f,1
b548d2c700496e2536d78caf626aee17,1
e4cc2545104bcfe978912d39f0960f4e,1
ace87fdae884359186e9851c38b146fb,1
6c1536fd10bb53460116723717b2ccb8,1
f6ba619e75818a6c8a8c24f40b583301,1
85a17326e670fca2c3046c5fb530e65d,1
e5566aafb48762145ac07dca5c072937,1
8f5132ad456f34e581e2f9a0b5975269,1
3e603fb943b0762d3763ba9167c1df00,1
b38a2f0fbbab277c6e15d1c7f62e4253,1
5dad9ebedd5a0e8f11a544d6b145e4e9,1
23c15146442248598f74dcf13c5ade6e,1
0229debc06d7e4eba50e5f3f5dccf62f,1
2488321faccda35673162d216a902bad,1
75fbe2a36c0077a06a14e32912006594,1
b6ef62831e7016629fe50d822724529f,1
7973648bce3447a7bf3df6fd2a7afb4f,1
46d8a76215720b705430c252c14bff44,1
2e4723786baca4f9519edd47e9b5afae,1
108ae53b09fc3ba8abf4ab77ce1746dc,1
dc79853578edbe0b63a1f16dc820be7d,1
dfd681688f975a5c118a172363be88c2,1
ce6993c3a49995cbad49b97fa4a1ef32,1
74676e6b4f64756869666021769a5169,1
b76ac4f2fd4cfbbfa5b3d8e8aabfa47d,1
8d277ec5bb04c74cad7b7065c704ca7f,1
569e90977570200319383a4f8a85066a,1
26fe120f8763070e7fedc4ccbc9286d5,1
3f5987780cd27a981dd1565a06b1d02d,1
35cc2baed395df1dd4a83e846372ee30,1
a9669a8c95e8153cd15de7f6c754bd5b,1
d60e30a7ea39cf1dd11da7006181b774,1
06fa63c7446da1d42e61d261392e8e6c,1
ad4140967c6a7821482eb43eeeaacf0f,1
96ef6df508eff3da0d2b7c884585d684,1
686b731af41a09c332ec79efff8d56d3,1
f2e8eecee008336366ce207b0cea423e,1
3b54000c99e3d1fbe2da24dd53a77427,1
52bcfc1a3aa61aa471fdce91be780cd1,1
5c99043d829be0260916e4566c523c89,1
3bb2446e7a9693415917d100e43c5785,1
2826a56e57872f226f1b881c86475c09,1
8b6837f86389e9dede137515b328e59a,1
287c2e3bb385c93fe217e50124b06d77,1
ecae0ee0a75a903f158f33533ebad602,1
3b90a11ae312c9a3d6345650d66aa889,1
94d4459afaad7a0ac32313cbcc1202e9,1
cf751456b615020d0c1fe102fa900334,1
1d927c5d9e5f6f8bb0360a810a62ae8c,1
500439e4f65a7283f9c0ce0ead531cee,1
b9d5ca8fa39157649fc20fecf484ffab,1
64f84dd6b8a4d7d5d5570810a81c8c26,1
6bd5693044378ddc8b270517449d8273,1
06e2918c954791067739cd1d1a1e6aae,1
9980c6c8b6c3db392ce76fb0fec89d34,1
2cee8ffad319d052c68e85584e5e112a,1
3c8ea667427c80e103bd9c47ef7a1a24,1
46c6eef325a56543eedc86ea04a8e3ed,1
e15a16d0c3700f6a362ccbfa64b5586f,1
0c390f61cdfda8a0619a5b672729d7c5,1
b4c3d0a20434e1278b85d7305b955246,1
6c8c20b517000708bf16ba9f1423a30d,1
8ac861bff692c36d2b962ececa6e7ed8,1
74b77e1e013536f5cadbe2b93ebcc615,1
3e72162fd225ccb36980bc20f608eee6,1
987b8bd09de244eb62b4d2bd1b00394e,1
cc7c6043a71212c8ae917f744b8671dc,1
63e5a4b44d10eff8cb9a064331030872,1
d12fc84e4c7739a2ab796cc8561c2c82,1
e08afb15de347a91dd4bd315f3c878fc,1
e2c89737478bf01145143c9c10ec3215,1
059c5f8a081d258e25f59a99e51b8a3c,1
ae52e84482f31941a3ad272bffc2dd7a,1
7530e808e3930477ccdeb20d11c5c108,1
ff42cc78ca827a0b9fb53f34d0158586,1
efa214d642ca530fa27b05c31538efdc,1
fe734d09a35e387c8205a1b227b59014,1
513b179e6d447620db78c429b3e6f38f,1
e9ecfb511e674c61f66ee17390eeb8cb,1
b4444117e84a5f9aef6a8106f4eb123d,1
4b212a48a1490472db93cf67753c686f,1
aaaa1028c127f36969326c091414acb6,1
220145ede8f198426852327c153513f2,1
57d885b18c846c1110c2a7f38740d39a,1
e3f505159d6133e1d8b87ca1dcf51bf5,1
7ccb370b75036e1d15ba79e5b80c4c69,1
4f61df0fe934f3df6908c5c3b40a839b,1
93ffb680688403dd80100c8910963c4c,1
820c892e846b0a6c484d9ac5e983472c,1
f9e9bd9f3e82f5cdcc1faedf93dce030,1
f97d213c91a3ea4e7cff75c37a18fff5,1
6931ab2d0c565ef6a17e224ad03f756f,1
b88eec40716a162232afa01156d550ec,1
1fa2f6b032d0de8ebd986cb860e9ca2d,1
c7a769744d31e962cc59e70b6114e55a,1
234d43ffc0878d46ae4642572e77333f,1
c07b79ebe33378d9a9b98fb7aff4985f,1
bf08d2b270648bfb76678039826e1367,1
567cb860488c37bbe2eddad82cd45b1c,1
22293794b6a354331fa38fd559426f7f,1
fc977d5f845252ee5bee215574703d38,1
30d466cd909a95e31227aa6925869db5,1
f0866fee4e7dcb580f79701273654c04,1
8d1be5072112583908db39b19f6eb22f,1
0061a29cf216e2e82c66b8727079e4e3,1
b4f1c49f0a20ef0288efb7729d14dea4,1
e5a0628ea8a001cce836fc44b5c9934c,1
f7cc0e892bbe90a72bc08b261967315c,1
a5971a24f53499f0bb3a7fdbbedf3f2f,1
e4290e35f8d91c94f0ae54a03ca3782c,1
7e34b1022a95b60a4b589797092d0bb0,1
9ba2a0dd32f0f6ef6f8e899a341059b7,1
3661147ec5e0c66c9f664a38a190b529,1
ad770409fc121ae0999736c1ed994d08,1
3376a78c022eb367b1c506a2225dfcd8,1
f57965618bfbe59977c7127541fd288f,1
382f553ca9c7ff78baa189abf87dd1a8,1
cafbf1dce1a070022f53321f637cd1b6,1
5451671e04f1cefb5b261067616fe7db,1
365ab4e5a23bdc8d375b05ff3281a4d8,1
78fa67b030ba92a689b83d25d9f20ca2,1
9f5417268902d1c7af4e8602fb65d3d8,1
e8773bc8435af344b391ba119dfc7a56,1
764411ead5e5ab7e549ba777c7fc78b8,1
350a32c9fe23089098a5ceaf29197355,1
16c3541a57797a08ad390fdb3baf9d04,1
9ec2fab94aa964aba935060debbc47ce,1
66906573ef2d15b018216d79154c61e3,1
623f5fceabd13230bea4b5f07467d50d,1
4de3a421effc46905f48b13a621b9091,1
e08e1ef9c7c06401280cb7e885db390e,1
f56ec98ae795fa632288a7975e51a312,1
15bf32aacde47182f3d3d2820ad73076,1
1ab5fc48652459a9928630a88c0f7517,1
be3fc57c8ae50fe6dd037ff86f4191ab,1
a4342023a36e086161860a2817d0b324,1
348aefbe46e3e7e5cf6c2de9c0159121,1
f4ac35fcad06bbd9d5f46baa131a9fc3,1
a00bfdbcaf9f1aab3a117d19f3de7cc8,1
6a099e27084e8610829bba727def465f,1
2340f93ae8849bac61225af14f166a1e,1
a1b2f2bb0f10358023d4bd69d5e6b338,1
86555f2d5a234287d4042327bb2b0676,1
4bde101797b962a23a998ea3a7bb2fa1,1
5cd05614a16f9fa58212bae6afa4760c,1
bbc08df59f30f3d504a3ab594ca8ba28,1
43e51a444863fbe51f8708de0ea03b3e,1
92cf4d360751bf9aef37c23fc64e5f9a,1
6053ce6f615f97f6a0855370449b4705,1
2164063b1bbe33f98abf6c1ee21bbba8,1
8bebb6fc5bc1b0f4e7936efd8697dcd1,1
f8cf851afc1135e8142c8582bc647b44,1
2bfab34ccdaa4569790bfa239f389a75,1
0bd35e9a66e2326904ee5cf33b551ff5,1
8bd8fec422a6693c1a6f0714182ca830,1
97f860fdb42bac6ba7f91c1413cd6065,1
2298a469c122d9551a0add14df02f5be,1
2d5c409b55a43e1f4304854fba93732d,1
9d6a6b2bfab2716a14e5dce2b2cb1ca5,1
becca6ae71a42f662d9ff51046a5520a,1
ceeabaf5ff4d686a8d76eb87147de02a,1
8e6b72417b6dae6c791af072eda2cc1f,1
b534d0220be245f5b20b97c285f09db5,1
dad99a2fbae3189d502c0c8692ecb421,1
bcdb0cb3e9cd6d1ea3eafcc15e76d18c,1
82716798fb30e4f847fc487dc32ff198,1
c5f0f0f928e57684ec5719f93d1d65e1,1
03d7baf2861080cbd650d8b195354326,1
2f7dbc5120ff89728cfc6523bc12a8ea,1
9f3596aa9132a01e83974c41c2a02cde,1
073ed2af383f488ae0b243d36fb28337,1
1b9894c9cad61f92fae51740323da169,1
0d07b4d16bd6a36947d151c2ec3efeca,1
d1c4130cf6825efe689fe893fccafbb5,1
f5651e7c6005d6bc18d5101d746f7c96,1
82dbbc5b86821c28c307578443c0ff97,1
d7ccc5c39e4c9d3de24b66f607345ff8,1
9c1a40b5e400e5550130bef8c6fd804f,1
04edc1acd3eff32ec0f93ff58a6b10d8,1
f444089fb688bb66cb36cb6f10c7ae2f,1
d03d47b618e92fe91f2b14022f83dfc7,1
f5ae32d5ec63e2c77a1661908bd1cf5a,1
5e54b4446452bc334c007d32dc6bc9ae,1
ec905654e50644a8a4eeeadcebd6d540,1
5bc1bb4efbaf51198054249c259f3346,1
c25a124fa6e7a48ef6f836f1fec78367,1
bc76b3b3a00850995e0c3fb0091e895a,1
26eb83f44d2ab491febf69d37045d66a,1
f0d9ea835033930860c5d41eda0d28ed,1
6357b5d3609ab0024e93aa7a35f7ad36,1
a0a64e621b07a1cf9a72dcdf0d9c923d,1
15653c15b1715d98358ef58be85ffbcc,1
85b763968dfa5355a0d4103f9ef11c2d,1
513c3199f0a5909d4da7f082a76a7584,1
3d8d19d2624345cfd474641ca57e0474,1
15c7c9f8577f0937702afb7754470326,1
edd8c513df06f87662d97835082ec854,1
443296c47302061f091deeaedcf18b81,1
270f61fe20fab061460072afc7e931bd,1
66dc2896e76f656d6e0b55627eaf8048,1
70dc5174274a781edcd83b25ae8d2b8a,1
f86bee5ef83c12f3193a3087bd68d2a1,1
11c8e59865d4a093e04f96e79e21a297,1
82c17dad6a607ceff5e518cd8be37175,1
119e96b36e3b62f561b28187bfd785b5,1
2a63d52ded7888176a42ad386b3975cb,1
3c9974e5db3995cd05f4eb32ef112624,1
5e5f60804b32a12e70fb069eb398d86e,1
6d91c07005a96bd28e56950206ed9d09,1
3c1ae84b3e85071ae54f5edaa32fd1a6,1
1740fd919685e18ad94f9f4bff558628,1
f75a20f79261a75f1168a936c87bd727,1
9158823586de1bafa8f76ecc23d876ba,1
22531ae32c8f62914bd8e9a963266dc1,1
3a009e84cd8c0a3176a38ee0dfc23660,1
e6710f8d3ee112ecfe39d0edfbd65cd2,1
dc20af874d3f9a95410c34f730cc0894,1
7c9f9a3bc2f22b9b70649dbaa3d2fe59,1
4013d62430062d49f7eb8bd564fa28f9,1
5c5400038921b0adb16719b26baa11b5,1
585a97dd0a782494e6c9463bb2e63e9d,1
32ce1f6db443afbec6da76dd03bbb5af,1
20c5c87545ed9db7d46af34203da9eea,1
d33854431bfecefec2a528dc38de8bfd,1
a0a9cdc8d537cf36badb68980d176148,1
7fc41db864ba7d0799f80347041ab565,1
da6fa360e9dd34b840c8c9e6f6a7e2bf,1
63f00ca9066097bd9d8b2e60e4d70bbc,1
9bb31cc641630c78d7995f45e6745235,1
86ea6ac653bc74dda5bf76727478f5c6,1
5331a240faba9f053221325929313467,1
489e8a09c12b5f9b11b21a6061aa11e4,1
1a5e556d27bd4cde20a65188292ff57d,1
8dfbb5ee58449e70bd84e694260169d6,1
2cecbb5ad931484121a6f3e96d6c7bf0,1
c8436c52fd811f1085bfd3b3bfe2efc1,1
452d3180bae827a25485ca80c376114d,1
37422cb4712595afdf7a088f841e8d57,1
72598c8837551be820d625aa9d931a0d,1
03c10ae960e00543a74e2e28b3580a75,1
5ad06bc8edf404d432d112823224a509,1
ae864bf28dfc265b3e11a5a497baf412,1
8cf493d6812a27e613a0235e97614af5,1
9f41ccf2d463eee1f43318383b9c7707,1
ac11ceb59992a35be5107e2b0ba17638,1
4085bb5f8a18cfd63fcb17985f1b56a4,1
a22e7ceea580994973b2326129fa2008,1
5811747e925f4ae1c488c845740b4434,1
831c1a4fbd934937230be8f262fa1030,1
a583789540c8b11e5971caa189c7f693,1
a670238c003d40ba0cf6733fe864c2a4,1
51c65a7dfb9827a51e33109ab175d6d5,1
837b0a95f579af2939574ad41a59ee8a,1
04b7d0dffb7bb74f648a82aee2b5110f,1
92a08e8861c858bcfaa4ae6bb477b8f7,1
59f316731855807582f474c8726327f4,1
d9400158480184d9c7b2ce48f2343448,1
e7f96d3a154332fe6ac27547f39d33a4,1
8c01f46ca29ac24478bfe6fbc7f27d37,1
830974d1f52ce632e4dfb04dc891640e,1
c9aab29a4b6bdac613bcec1cd0b919a9,1
aa8a4b326e7da8936cb2d34d845d25d9,1
44e8e56d74cc74850893003160a73ad2,1
419afe94eaf330e94295ae436aeba880,1
f6da1923dd1a030071b885ace226069d,1
dec11d6fe28ebaa1b4724f499a410fc1,1
63d613485327a87b3ba71f519be8b4f9,1
4c673d8dc6764aa0da3d45bb76623e6a,1
561185772698f89e632c144f8b76f125,1
5fb4195acfaa51a0f3e0eced7282da6b,1
9d96c24cdb73f333cf901f68bb7e88cb,1
6d0c4c8ed64bdbf8b2f2eb42c4c580e7,1
e16e73b2b04eb85140d1768d7edb1fea,1
b1986641e1b12e22b4a05a9ead0389fb,1
c5dcdf62bc59e2129178f8279e913a0b,1
a6f20bcd1e85a09391c54eb4442cb02b,1
6ddaf47de6a2a5d64fac1076b797728c,1
62013c41dd0d70dd3e1a505af30d6861,1
03d57fa2d80ff2dee93bfa03579efd53,1
c3a0cdb64e8a1a54d2f2c27fe32e3b21,1
d690a7f9cc1dd07bedbc3d6a39fa5bb7,1
e3199b26ec8241476c331311e4b181ea,1
6eba68ed284b1dba38e0a32cb4e88661,1
cb3aa7e34d073202838721249063c65d,1
d8747f5ade73d6130c71c95943a0076a,1
